date,covid,covid_unsmoothed,lower_ci,upper_ci,level,activity_category
2025-06-11,191.58104121481153,562.2896748183771,480.05394517851596,644.5254044582381,high,not calculated
2025-06-13,184.21902431675986,285.18416880063194,233.0125325843273,337.35580501693664,high,not calculated
2025-06-16,213.3843140353648,26.954350260272832,15.29397955298618,38.614720967559485,high,not calculated
2025-06-18,190.19294700003843,145.0027861296781,99.91424455590018,190.09132770345602,high,not calculated
2025-06-20,151.8374504296477,209.96598717578428,152.93420169407503,266.99777265749356,high,not calculated
2025-06-23,172.1053023438038,215.6100676946528,177.81902956172127,253.40110582758433,high,not calculated
2025-06-25,157.2855662950713,100.54357798348065,78.22512314118973,122.86203282577156,high,not calculated
2025-06-27,139.56709881732652,161.34713372594902,114.8059590875302,207.88830836436782,high,not calculated
2025-06-30,115.45785178492841,89.0193926287547,52.40082473148869,125.6379605260207,high,not calculated
2025-07-02,107.36731667135003,156.81058474254988,113.95923411779754,199.66193536730222,high,not calculated
2025-07-07,97.84657879384325,76.27197264274542,45.58456800041885,106.95937728507201,medium,not calculated
2025-07-09,92.53731164052851,38.88977994028789,18.737622725281557,59.04193715529422,medium,not calculated
2025-07-11,73.85688837523479,128.2483711100296,62.427201972752776,194.06954024730643,medium,not calculated
2025-07-14,77.38837032458602,73.09159116881054,55.61274382557798,90.57043851204311,medium,not calculated
2025-07-16,96.06879358987976,72.20710131414843,37.019800682664894,107.39440194563197,medium,not calculated
2025-07-18,110.84961489046833,86.8664184907991,57.37974190280124,116.35309507879697,high,not calculated
2025-07-21,151.68876071675638,172.59083501179532,75.2845797725816,269.8970902510091,high,not calculated
2025-07-23,200.64009291513173,195.6090286476747,86.53582621387302,304.6822310814764,high,not calculated
2025-07-25,215.3375809828323,233.72041508592517,130.5076505074377,336.93317966441265,high,not calculated
2025-07-28,215.3375809828323,298.2897690999503,232.4002891363265,364.1792490635741,high,not calculated
2025-07-30,211.21013159158232,216.68329921489706,108.0800178897012,325.2865805400929,high,not calculated
2025-08-01,211.9422533710144,183.22668047392474,60.90029789181846,305.5530630560311,high,not calculated
2025-08-04,211.9422533710144,148.40939469964798,100.70820408709265,196.11058531220328,high,not calculated
2025-08-06,230.3203320497318,235.91678042422143,128.3298040568135,343.50375679162937,high,not calculated
2025-08-08,254.65566143993163,482.63500513238114,354.9711205790744,610.2988896856879,high,not calculated
2025-08-11,254.65566143993163,271.8175352510492,208.83577393462127,334.79929656747714,high,not calculated
2025-08-13,254.54568241210953,256.2326686445243,177.56149294372636,334.9038443453223,high,not calculated
2025-08-15,210.4846157144136,139.63433515796157,105.95436231113906,173.3143080047841,high,not calculated
2025-08-18,188.03389775607715,235.58684334075494,148.8151562674069,322.358530414103,high,not calculated
2025-08-20,188.03389775607715,118.24419974207797,93.83022198795915,142.6581774961968,high,not calculated
2025-08-22,334.97847823657935,188.88051476951497,143.90917945278332,233.85185008624666,high,not calculated
2025-08-25,320.48497126006197,637.9003497972361,496.6771303852479,779.1235692092245,high,not calculated
2025-08-27,470.1582496026357,580.4680765994682,374.17448178240113,786.7616714165351,high,not calculated
2025-08-29,652.4766869000047,192.10632241120265,152.33437863122194,231.87826619118337,high,not calculated
2025-09-01,574.7281413590348,839.08544735489,642.9766540557622,1035.1942406540177,high,not calculated
2025-09-03,451.06214712789904,739.0616343033097,544.362444704386,933.7608239022334,high,not calculated
2025-09-05,463.5707521584528,404.6547131743262,320.8629388092197,488.4464875394328,high,not calculated
2025-09-08,287.04023869270327,209.47009390606127,155.76320421375445,263.1769835983681,high,not calculated
2025-09-10,287.04023869270327,246.99590899772232,186.99948239340426,306.9923356020404,high,not calculated
2025-09-12,221.22369460692641,207.2050809169956,128.14190173099993,286.26826010299123,high,not calculated
2025-09-15,604.9797584492919,1594.0323533244962,1183.348410848454,2004.7162958005383,high,not calculated
2025-09-17,594.5567168376898,182.1269420547099,92.17968688061572,272.07419722880405,high,not calculated
2025-09-19,586.1973372169277,1360.738285433158,1034.0806802163045,1687.395890650011,high,not calculated
2025-09-22,179.55219024249962,215.72678416291575,92.09086002410292,339.3627083017285,high,not calculated
2025-09-24,204.42228749870998,112.61321458289656,93.01955693573761,132.20687223005552,high,not calculated
2025-09-26,187.12722093405253,140.8028445098733,60.28891668393425,221.31677233581232,high,not calculated
2025-09-29,152.75603107404612,256.737233823341,198.16780333416423,315.30666431251774,high,not calculated
2025-10-01,155.84462197166064,204.85203412936852,162.44555080442228,247.25851745431478,high,not calculated
2025-10-03,141.3677905189987,56.92045459602106,40.53165152516721,73.30925766687491,high,not calculated
2025-10-06,141.3677905189987,121.87898727574013,58.50186832746147,185.25610622401877,high,not calculated
2025-10-08,93.72704884621926,97.37235015188746,64.29492665557493,130.4497736482,medium,not calculated
2025-10-10,113.37477009648887,456.2267279462421,389.56707937076493,522.8863765217193,high,not calculated
2025-10-13,133.47875912227448,61.92980911103017,14.278181221056283,109.58143700100405,high,not calculated
